b,d,a/d,f'_c,rho_f,E_f,ACI 440,ISISM03,BISE,JSCE,CNR-DT203,Kara
200,325,3.2,44.6,0.7,137,2.91,1.57,2,2.31,1.36,1.71
200,325,3.2,45,0.7,137,3.1,1.67,2.13,2.46,1.45,1.82
200,325,3.2,46.9,0.9,58,2.97,1.85,1.89,2.2,1.41,1.62
250,265,3.1,34.1,1.9,56,3.01,2.76,2.01,2.33,1.72,1.81
250,265,3.1,22.9,1.9,56,2.48,2.47,1.69,1.95,1.64,1.51
300,150,4,22.7,1.3,29,2.3,2.02,1.21,1.51,1.41,1.29
300,150,4,27.8,1.8,29,2.05,1.99,1.11,1.38,1.2,1.18
150,250,3,34.3,1.51,105,1.79,1.41,1.22,1.41,0.94,1.11
150,250,3,34.3,3.02,105,1.38,1.45,0.99,1.14,0.72,0.9
150,250,3,34.3,2.27,105,1.36,1.27,0.96,1.11,0.73,0.87
200,260,2.7,34.7,1.3,130,1.73,1.26,1.2,1.38,0.93,1.06
150,210,3.65,27.965,1.31,45,1.69,1.39,1.01,1.17,0.98,0.98
150,210,3.65,32.385,1.31,45,1.95,1.56,1.16,1.34,1.07,1.12
254,222,3.2,39,1.55,34,0.8,0.67,0.47,0.55,0.43,0.44
305,192,4.1,38,0.36,41.4,1.92,0.81,0.92,1.07,0.69,0.92
305,157.5,4.5,28.6,0.73,40,1.85,1.17,0.94,1.15,0.91,1
229,225,4.06,36.3,1.11,40.3,1.94,1.4,1.12,1.3,1,1.08
229,225,4.06,36.3,1.11,40.3,1.91,1.38,1.11,1.28,0.98,1.07
229,225,4.06,36.3,1.11,40.3,1.82,1.32,1.06,1.22,0.94,1.02
178,225,4.06,36.3,1.42,40.3,1.6,1.3,0.96,1.11,0.86,0.92
178,225,4.06,36.3,1.42,40.3,1.99,1.62,1.19,1.38,1.07,1.15
178,225,4.06,36.3,1.42,40.3,1.83,1.48,1.09,1.27,0.98,1.05
229,225,4.06,36.3,1.66,40.3,1.65,1.44,1.01,1.16,0.9,0.97
229,225,4.06,36.3,1.66,40.3,2.01,1.74,1.22,1.41,1.1,1.18
229,225,4.06,36.3,1.66,40.3,1.85,1.6,1.12,1.3,1.01,1.08
279,225,4.06,36.3,1.81,40.3,1.43,1.29,0.88,1.02,0.79,0.85
279,225,4.06,36.3,1.81,40.3,1.5,1.35,0.92,1.06,0.82,0.89
279,225,4.06,36.3,1.81,40.3,1.5,1.36,0.92,1.07,0.83,0.89
254,224,4.08,36.3,2.05,40.3,1.28,1.23,0.8,0.92,0.71,0.77
254,224,4.08,36.3,2.05,40.3,1.74,1.66,1.08,1.25,0.96,1.04
254,224,4.08,36.3,2.05,40.3,1.59,1.51,0.99,1.14,0.88,0.95
229,224,4.08,36.3,2.27,40.3,1.57,1.57,0.99,1.14,0.87,0.95
229,224,4.08,36.3,2.27,40.3,1.51,1.51,0.95,1.1,0.84,0.92
229,224,4.08,36.3,2.27,40.3,1.49,1.49,0.94,1.09,0.83,0.9
178,279,2.7,24.1,2.3,40,2.23,2.45,1.51,1.75,1.51,1.32
178,287,2.6,24.1,0.77,40,2.39,1.61,1.44,1.65,1.4,1.24
178,287,2.6,24.1,1.34,40,2.06,1.79,1.33,1.54,1.35,1.15
457,360,3.4,39.7,0.96,40.5,1.74,1.21,1.11,1.29,0.94,0.93
457,360,3.4,39.9,0.96,37.6,1.58,1.1,1,1.15,0.85,0.84
457,360,3.4,40.3,0.96,47.1,1.72,1.18,1.12,1.29,0.91,0.94
457,360,3.4,42.3,1.92,40.5,1.59,1.49,1.1,1.27,0.92,0.92
457,360,3.4,42.5,1.92,37.6,1.83,1.72,1.25,1.45,1.05,1.05
160,346,2.8,37.3,0.72,42,2.99,1.82,1.83,2.12,1.51,1.52
160,346,2.8,37.3,0.72,42,3.49,2.13,2.14,2.48,1.77,1.78
160,346,3.3,43.2,1.1,42,1.85,1.33,1.19,1.37,0.97,1
160,346,3.3,43.2,1.1,42,1.84,1.32,1.18,1.37,0.97,1
160,325,3.5,34.1,1.54,42,2.06,1.78,1.37,1.59,1.23,1.19
160,325,3.5,34.1,1.54,42,1.9,1.64,1.27,1.46,1.13,1.09
130,310,3.1,37.3,0.72,120,2.3,1.3,1.56,1.8,1.09,1.34
130,310,3.1,37.3,0.72,120,2.14,1.21,1.45,1.68,1.01,1.25
130,310,3.7,43.2,1.1,120,1.78,1.17,1.25,1.44,0.86,1.1
130,310,3.7,43.2,1.1,120,1.97,1.29,1.38,1.6,0.96,1.21
130,310,3.7,34.1,1.54,120,1.94,1.55,1.42,1.64,1.07,1.25
130,310,3.7,34.1,1.54,120,2.03,1.61,1.48,1.71,1.12,1.3
203,225,4.06,79.6,1.25,40.3,1.78,1.14,1,1.38,0.69,0.96
203,225,4.06,79.6,1.25,40.3,1.3,0.83,0.73,1.01,0.5,0.7
203,225,4.06,79.6,1.25,40.3,1.8,1.15,1.01,1.4,0.7,0.97
152,225,4.06,79.6,1.66,40.3,1.55,1.13,0.9,1.25,0.62,0.87
152,225,4.06,79.6,1.66,40.3,1.66,1.21,0.96,1.33,0.67,0.93
152,225,4.06,79.6,1.66,40.3,1.68,1.22,0.98,1.35,0.67,0.94
165,224,4.06,79.6,2.1,40.3,1.6,1.3,0.96,1.32,0.65,0.92
----------------------,----------------------,----------------------,----------------------,----------------------,----------------------,----------------------,----------------------,----------------------,----------------------,----------------------,----------------------
165,224,4.08,79.6,2.1,40.3,1.34,1.09,0.8,1.11,0.55,0.77
165,224,4.08,79.6,2.1,40.3,1.53,1.24,0.91,1.26,0.62,0.88
203,224,4.08,79.6,2.56,40.3,1.5,1.33,0.92,1.27,0.61,0.88
203,224,4.08,79.6,2.56,40.3,1.42,1.25,0.87,1.2,0.58,0.84
203,224,4.08,79.6,2.56,40.3,1.4,1.24,0.86,1.18,0.57,0.83
200,225,2.67,40.5,0.25,145,2.19,0.74,1.23,1.42,0.73,1.13
200,225,2.67,49,0.5,145,1.97,0.88,1.19,1.4,0.77,1.09
200,225,2.67,40.5,0.63,145,1.89,0.97,1.18,1.37,0.85,1.09
200,225,2.67,40.5,0.88,145,1.48,0.88,0.96,1.11,0.72,0.88
200,225,3.56,40.5,0.5,145,2.08,0.96,1.27,1.47,0.88,1.2
200,225,4.2,40.5,0.5,145,1.7,0.79,1.04,1.2,0.72,1
150,171,3.9,28.9,0.45,38,2.06,1.04,1,1.2,0.88,1.03
150,218,3.1,28.9,0.71,32,1.98,1.24,1.06,1.23,1.01,1
150,268,2.5,28.9,0.86,32,2.11,1.45,1.22,1.41,1.18,1.07
150,168,4,50.15,1.39,32,1.63,1.23,0.86,1.06,0.74,0.89
150,218,3.1,50.15,1.06,32,2.23,1.48,1.22,1.44,1.01,1.15
150,268,2.5,50.15,1.15,32,1.91,1.32,1.11,1.31,0.91,0.97
150,223,3.3,50.4,1.28,45,1.69,1.21,0.99,1.18,0.78,0.93
114,294,3.11,59.7,0.59,40.8,1.35,0.65,0.75,0.94,0.51,0.65
114,294,3.11,32.1,0.59,40.8,2.02,1.13,1.17,1.35,0.99,1.02
114,294,3.11,32.1,0.59,40.8,1.9,1.06,1.09,1.27,0.92,0.96
229,147,3.11,59.7,0.59,40.8,2.53,1.22,1.18,1.59,0.86,1.22
229,147,3.11,32.1,0.59,40.8,3.84,2.14,1.86,2.32,1.68,1.94
229,147,3.11,32.1,0.59,40.8,2.74,1.53,1.33,1.66,1.2,1.39
250,305,2.5,39.8,0.86,46.5,2.1,1.32,1.29,1.49,1.04,1.09
250,305,3.5,39.8,0.86,46.5,1.5,0.95,0.92,1.07,0.75,0.81
250,310,2.5,34.5,0.42,145.2,1.87,0.84,1.23,1.42,0.85,1.03
250,310,3.5,34.5,0.42,145.2,1.71,0.77,1.12,1.29,0.77,0.98
250,440,2.5,44.7,0.9,46.7,1.74,1.2,1.17,1.35,0.93,0.9
300,584,2.5,37.1,0.91,46.2,1.54,1.23,1.13,1.3,1.02,0.81
250,442,2.5,74.2,1.25,48.2,1.93,1.38,1.31,1.77,0.9,1.01
300,578,2.5,74.2,1.37,48.2,1.57,1.28,1.16,1.57,0.85,0.84
250,460,2.5,42.4,0.45,144.4,1.33,0.65,0.96,1.11,0.64,0.73
300,594,2.5,37,0.43,146.5,1.38,0.75,1.06,1.23,0.79,0.76
250,296,2.5,39.8,1.43,46.3,1.84,1.46,1.19,1.38,1,1.02
250,296,2.5,42.4,1.43,46.3,1.96,1.53,1.27,1.46,1.04,1.08
250,455,2.5,37.1,0.35,46.5,2.43,1.14,1.47,1.7,1.06,1.12
250,434,2.5,37.1,1.47,46.3,1.78,1.6,1.28,1.48,1.12,0.99
250,310,2.5,42.4,0.18,144.4,2.38,0.69,1.38,1.6,0.72,1.16
250,310,2.5,34.5,0.67,143.3,1.72,0.95,1.18,1.37,0.89,1
250,460,2.5,42.4,0.22,145.5,1.74,0.62,1.15,1.33,0.65,0.88
250,439,2.5,42.4,0.65,144.6,1.32,0.75,0.98,1.13,0.69,0.75
250,291,2.5,65.3,0.89,46.2,2.35,1.34,1.39,1.8,0.96,1.19
250,291,2.5,88.3,0.89,46.2,2.3,1.22,1.33,1.91,0.83,1.14
250,310,2.5,65.3,0.42,145.6,1.74,0.68,1.1,1.42,0.61,0.92
250,310,2.5,88.3,0.42,145.6,1.74,0.63,1.08,1.54,0.55,0.91
450,438,3.48,35,0.55,37,1.62,0.95,1,1.16,0.84,0.8
450,194,3.93,35,0.66,37,2.13,1.23,1.1,1.28,0.97,1.1
450,405,3.77,35,2.36,37,1.45,1.61,1.05,1.22,0.94,0.87
450,188,4.05,35,2.54,37,1.62,1.72,0.98,1.15,0.89,0.99
250,291,2.5,65.3,0.87,46.3,2.37,1.34,1.4,1.81,0.96,1.2
250,442,2.5,74.2,1.25,48.2,1.93,1.38,1.31,1.77,0.9,1.01
300,578,2.5,74.2,1.37,48.2,1.57,1.28,1.16,1.57,0.85,0.84
250,310,2.5,65.3,0.42,136,1.8,0.7,1.12,1.45,0.61,0.95
250,449,2.5,74.2,0.69,144,1.31,0.68,0.95,1.28,0.57,0.73
300,594,2.5,74.2,0.65,144,1.23,0.69,0.95,1.29,0.6,0.68
200,215.5,2,30,0.33,146.2,2.94,1.21,1.72,2,1.21,1.55
150,215.5,2,30,0.44,146.2,3.13,1.46,1.89,2.19,1.42,1.7
150,215.5,2,30,0.44,146.2,3.06,1.43,1.86,2.15,1.39,1.67
150,213.5,2,30,0.79,147.9,3.13,1.89,2.01,2.32,1.67,1.81
200,215.5,2.5,30,0.33,146.2,2.07,0.85,1.21,1.4,0.85,1.12
150,215.5,2.5,30,0.44,146.2,1.9,0.89,1.15,1.33,0.86,1.06
150,215.5,2.5,30,0.44,146.2,1.52,0.71,0.92,1.07,0.69,0.85
150,213.5,2.5,30,0.79,147.9,1.46,0.88,0.94,1.08,0.78,0.86
150,213.5,2.5,30,0.79,147.9,1.33,0.8,0.85,0.99,0.71,0.79
200,215.5,3.5,30,0.33,146.2,1.49,0.61,0.87,1.01,0.62,0.84
200,215.5,3.5,30,0.33,146.2,1.94,0.8,1.14,1.32,0.8,1.09
150,215.5,3.5,30,0.44,146.2,1.59,0.75,0.97,1.12,0.72,0.92
150,215.5,3.5,30,0.44,146.2,2.11,0.99,1.28,1.48,0.96,1.22
150,213.5,3.5,30,0.79,147.9,1.71,1.03,1.1,1.27,0.91,1.05
150,213.5,3.5,30,0.79,147.9,1.47,0.89,0.95,1.09,0.79,0.91
200,215.5,4.5,30,0.33,146.2,1.53,0.63,0.9,1.04,0.63,0.89
200,215.5,4.5,30,0.33,146.2,1.57,0.65,0.92,1.07,0.65,0.91
----------------------,----------------------,----------------------,----------------------,----------------------,----------------------,----------------------,----------------------,----------------------,----------------------,----------------------,----------------------
150,215.5,4.5,30,0.44,146.2,1.79,0.84,1.09,1.26,0.81,1.07
150,215.5,4.5,30,0.44,146.2,1.59,0.75,0.97,1.12,0.72,0.95
150,213.5,4.5,30,0.79,147.9,1.49,0.9,0.96,1.11,0.79,0.94
150,213.5,4.5,30,0.79,147.9,1.54,0.93,0.99,1.14,0.82,0.98
200,215.5,2,30,0.33,48.2,5.05,2.17,2.56,2.97,1.95,2.31
150,215.5,2,30,0.44,48.2,4.8,2.36,2.54,2.94,2.06,2.28
150,215.5,2,30,0.44,48.2,5.32,2.61,2.81,3.25,2.28,2.53
150,213.5,2,30,0.79,49.1,3.8,2.45,2.17,2.51,1.93,1.95
200,215.5,2.5,30,0.33,48.2,2.48,1.07,1.26,1.46,0.96,1.16
150,215.5,2.5,30,0.44,48.2,2.81,1.38,1.48,1.72,1.2,1.37
150,215.5,2.5,30,0.44,48.2,2.73,1.34,1.44,1.67,1.17,1.33
150,213.5,2.5,30,0.79,49.1,2.27,1.46,1.29,1.5,1.16,1.2
150,213.5,2.5,30,0.79,49.1,2.47,1.59,1.41,1.63,1.26,1.3
200,215.5,3.5,30,0.33,48.2,2.5,1.07,1.27,1.47,0.97,1.22
200,215.5,3.5,30,0.33,48.2,2.79,1.2,1.41,1.64,1.08,1.35
150,215.5,3.5,30,0.44,48.2,2.33,1.14,1.23,1.42,1,1.18
150,215.5,3.5,30,0.44,48.2,2.46,1.21,1.3,1.5,1.05,1.24
150,213.5,3.5,30,0.79,49.1,1.58,1.02,0.9,1.04,0.81,0.87
150,213.5,3.5,30,0.79,49.1,1.78,1.14,1.01,1.17,0.91,0.97
